,id,(,),{,},;,[,],=,float,int,if,else,while,for,do,break,continue,num,||,&&,==,!=,<,<=,>=,>,+,-,*,/,!,real,true,false,undefined,$,program,block,decls,decl,init,array,basic,stmts,stmt,loc,f_decl,f_bool,f_expr,bool,join,equality,rel,sexpr,expr,term,unary,factor
0,,,,,,,,,,s3,s4,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,2,,,,,,,,,,,,,,,
1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,acc,,,,,,,,,,,,,,,,,,,,,,
2,s5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,r10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,r11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,,s6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,,,s7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,,,,s9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,
8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,r1,,,,,,,,,,,,,,,,,,,,,,
9,r4,,,r4,r4,,,,,r4,r4,r4,,r4,r4,r4,r4,r4,,,,,,,,,,,,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,
10,r13,,,r13,r13,,,,,s3,s4,r13,r13,r13,r13,r13,r13,r13,,,,,,,,,,,,,,,,,,,,,,,12,14,,13,11,,,,,,,,,,,,,,
11,s25,,,s9,s15,,,,,,,s18,,s19,s20,s21,s22,s23,,,,,,,,,,,,,,,,,,,,,24,,,,,,,16,17,,,,,,,,,,,,
12,r3,,,r3,r3,,,,,r3,r3,r3,,r3,r3,r3,r3,r3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,s26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,r6,r6,,r6,r6,r6,,,,r6,r6,r6,,r6,r6,r6,r6,r6,r6,,,,,,,,,,r6,,,r6,r6,r6,r6,,,,,,,,,,,,,,,,,,,,,,,,
15,r2,,,r2,r2,,,,,,,r2,r2,r2,r2,r2,r2,r2,,,,,,,,,,,,,,,,,,,r2,,,,,,,,,,,,,,,,,,,,,,
16,r12,,,r12,r12,,,,,,,r12,,r12,r12,r12,r12,r12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,,,,,,,s29,,s28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,,s30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,,s31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,,s32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,s25,,,s9,,,,,,,,s18,,s19,s20,s21,s22,s23,,,,,,,,,,,,,,,,,,,,,24,,,,,,,33,17,,,,,,,,,,,,
22,,,,,,s34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,,,,,,s35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,r22,,,r22,r22,,,,,,,r22,r22,r22,r22,r22,r22,r22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,,,r24,,,r24,r24,,r24,,,,,,,,,,,r24,r24,r24,r24,r24,r24,r24,r24,r24,r24,r24,r24,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,,,,,,r8,s38,,s37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36,,,,,,,,,,,,,,,,
27,r6,r6,,r6,r6,r6,,,,r6,r6,r6,,r6,r6,r6,r6,r6,r6,,,,,,,,,,r6,,,r6,r6,r6,r6,,,,,,,,,,,,,,,,,,,,,,,,
28,s25,s45,,,,,,,,,,,,,,,,,s47,,,,,,,,,,s43,,,s42,s48,s49,s50,,,,,,,,,,,,46,,,,,,,,,39,40,41,44
29,,,,,,,,,,,,,,,,,,,s51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,s25,s45,,,,,,,,,,,,,,,,,s47,,,,,,,,,,s43,,,s42,s48,s49,s50,,,,,,,,,,,,46,,,,52,53,54,55,56,57,40,41,44
31,s25,s45,,,,,,,,,,,,,,,,,s47,,,,,,,,,,s43,,,s42,s48,s49,s50,,,,,,,,,,,,46,,,,58,53,54,55,56,57,40,41,44
32,,,,,,s61,,,,s3,s4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60,14,,13,,,,59,,,,,,,,,,,
33,,,,,,,,,,,,,,s62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,r20,,,r20,r20,,,,,,,r20,r20,r20,r20,r20,r20,r20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,r21,,,r21,r21,,,,,,,r21,r21,r21,r21,r21,r21,r21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,,,,,,s63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,s25,s45,,,,,,,,,,,,,,,,,s47,,,,,,,,,,s43,,,s42,s48,s49,s50,,,,,,,,,,,,46,,,,,,,,,64,40,41,44
38,,,,,,,,,,,,,,,,,,,s65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,,,,,,s66,,,,,,,,,,,,,,,,,,,,,,s67,s68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,,,r46,,,r46,,,,,,,,,,,,,,r46,r46,r46,r46,r46,r46,r46,r46,r46,r46,s69,s70,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,,,r49,,,r49,,,,,,,,,,,,,,r49,r49,r49,r49,r49,r49,r49,r49,r49,r49,r49,r49,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,s25,s45,,,,,,,,,,,,,,,,,s47,,,,,,,,,,s43,,,s42,s48,s49,s50,,,,,,,,,,,,46,,,,,,,,,,,71,44
43,s25,s45,,,,,,,,,,,,,,,,,s47,,,,,,,,,,s43,,,s42,s48,s49,s50,,,,,,,,,,,,46,,,,,,,,,,,72,44
44,,,r52,,,r52,,,,,,,,,,,,,,r52,r52,r52,r52,r52,r52,r52,r52,r52,r52,r52,r52,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,s25,s45,,,,,,,,,,,,,,,,,s47,,,,,,,,,,s43,,,s42,s48,s49,s50,,,,,,,,,,,,46,,,,,,,,,73,40,41,44
46,,,r54,,,r54,s29,,,,,,,,,,,,,r54,r54,r54,r54,r54,r54,r54,r54,r54,r54,r54,r54,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,,,r55,,,r55,,,,,,,,,,,,,,r55,r55,r55,r55,r55,r55,r55,r55,r55,r55,r55,r55,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,,,r56,,,r56,,,,,,,,,,,,,,r56,r56,r56,r56,r56,r56,r56,r56,r56,r56,r56,r56,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,,,r57,,,r57,,,,,,,,,,,,,,r57,r57,r57,r57,r57,r57,r57,r57,r57,r57,r57,r57,,,,,,,,,,,,,,,,,,,,,,,,,,,,
