,(,),[,],{,},+,-,*,/,!,;,<,>,<=,>=,==,!=,||,&&,=,id,num,real,float,int,if,else,while,do,break,continue,false,true,$,program,block,decls,decl,type,basic,stmts,stmt,loc,bool,join,equality,rel,expr,term,unary,factor,opa,opb,opc,M,N
0,,,,,,,,,,,,,,,,,,,,,,,,,s3,s4,,,,,,,,,,1,,,,,2,,,,,,,,,,,,,,,,
1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,acc,,,,,,,,,,,,,,,,,,,,,,
2,,,,,,,,,,,,,,,,,,,,,,s5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,,,r8,,,,,,,,,,,,,,,,,,,r8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,,,r9,,,,,,,,,,,,,,,,,,,r9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,s6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,,s7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,,,,,s9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,
8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,r1,,,,,,,,,,,,,,,,,,,,,,
9,,,,,r4,r4,,,,,,,,,,,,,,,,r4,,,r4,r4,r4,r4,r4,r4,r4,r4,,,r4,,,10,,,,,,,,,,,,,,,,,,,
10,,,,,r11,r11,,,,,,,,,,,,,,,,r11,,,s3,s4,r11,,r11,r11,r11,r11,,,,,,,11,12,13,14,,,,,,,,,,,,,,,
11,,,,,r3,r3,,,,,,,,,,,,,,,,r3,,,r3,r3,r3,r3,r3,r3,r3,r3,,,r3,,,,,,,,,,,,,,,,,,,,,,
12,,,s15,,,,,,,,,,,,,,,,,,,s16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,,,r7,,,,,,,,,,,,,,,,,,,r7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,r53,,,,r53,s18,,r53,,,r53,,,,,,,,,,,r53,r53,r53,,,r53,,r53,r53,r53,r53,r53,r53,,,,,,,,,,,,,,,,,,,,,,17,
15,,,,,,,,,,,,,,,,,,,,,,,s19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,,,,,,,,,,,,s20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,,,,,s9,,,,,,,,,,,,,,,,,s24,,,,,s25,,s26,s27,s28,s29,,,,,21,,,,,,22,23,,,,,,,,,,,,,
18,,,,,r2,r2,,,,,,,,,,,,,,,,r2,,,,,r2,r2,r2,r2,r2,r2,,,r2,,,,,,,,,,,,,,,,,,,,,,
19,,,,s30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,,,,,r5,r5,,,,,,,,,,,,,,,,r5,,,r5,r5,r5,r5,r5,r5,r5,r5,,,r5,,,,,,,,,,,,,,,,,,,,,,
21,,,,,r20,r20,,,,,,,,,,,,,,,,r20,,,,,r20,r20,r20,r20,r20,r20,,,,,,,,,,,,,,,,,,,,,,,,,
22,,,,,r10,r10,,,,,,,,,,,,,,,,r10,,,,,r10,,r10,r10,r10,r10,,,,,,,,,,,,,,,,,,,,,,,,,
23,,,s31,,,,,,,,,,,,,,,,,,s32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,,,s33,,,,,,,,,,,,,,,,,,s34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,s35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,r53,,,,r53,,,r53,,,r53,,,,,,,,,,,r53,r53,r53,,,r53,,r53,r53,r53,r53,r53,r53,,,,,,,,,,,,,,,,,,,,,,36,
27,r53,,,,r53,,,r53,,,r53,,,,,,,,,,,r53,r53,r53,,,r53,,r53,r53,r53,r53,r53,r53,,,,,,,,,,,,,,,,,,,,,,37,
28,,,,,,,,,,,,s38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,,,,,,,,,,,,s39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,,,r6,,,,,,,,,,,,,,,,,,,r6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,,,,,,,,,,,,,,,,,,,,,,,s40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,s47,,,,,,,s48,,,s49,,,,,,,,,,,s50,s51,s52,,,,,,,,,,,,,,,,,,,,41,,,,,42,43,44,45,,,46,,
33,,,,,,,,,,,,,,,,,,,,,,,s53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,s47,,,,,,,s48,,,s49,,,,,,,,,,,s50,s51,s52,,,,,,,,,,,,,,,,,,,,41,,,,,54,43,44,45,,,46,,
35,s47,,,,,,,s48,,,s49,,,,,,,,,,,s50,s51,s52,,,,,,,,,s59,s60,,,,,,,,,,41,55,56,57,,58,43,44,45,,,46,,
36,s61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,,,,,s9,,,,,,,,,,,,,,,,,s24,,,,,s25,,s26,s27,s28,s29,,,,,21,,,,,,62,23,,,,,,,,,,,,,
38,,,,,r18,r18,,,,,,,,,,,,,,,,r18,,,,,r18,r18,r18,r18,r18,r18,,,,,,,,,,,,,,,,,,,,,,,,,
39,,,,,r19,r19,,,,,,,,,,,,,,,,r19,,,,,r19,r19,r19,r19,r19,r19,,,,,,,,,,,,,,,,,,,,,,,,,
40,,,,s63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,,r43,s31,,,,r43,r43,r43,r43,,r43,r43,r43,r43,r43,r43,r43,r43,r43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,,,,,,,s65,s66,,,,s67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64,,,,
43,,r37,,,,,r37,r37,s69,s70,,r37,r37,r37,r37,r37,r37,r37,r37,r37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68,,,
44,,r39,,,,,r39,r39,r39,r39,,r39,r39,r39,r39,r39,r39,r39,r39,r39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,,r41,,,,,r41,r41,r41,r41,,r41,r41,r41,r41,r41,r41,r41,r41,r41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,s47,,,,,,,s48,,,s49,,,,,,,,,,,s50,s51,s52,,,,,,,,,,,,,,,,,,,,41,,,,,,,71,45,,,46,,
47,s47,,,,,,,s48,,,s49,,,,,,,,,,,s50,s51,s52,,,,,,,,,,,,,,,,,,,,41,,,,,72,43,44,45,,,46,,
48,r52,,,,,,,r52,,,r52,,,,,,,,,,,r52,r52,r52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,r51,,,,,,,r51,,,r51,,,,,,,,,,,r51,r51,r51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,,r44,s33,,,,r44,r44,r44,r44,,r44,r44,r44,r44,r44,r44,r44,r44,r44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,,r45,,,,,r45,r45,r45,r45,,r45,r45,r45,r45,r45,r45,r45,r45,r45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,,r46,,,,,r46,r46,r46,r46,,r46,r46,r46,r46,r46,r46,r46,r46,r46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,,,,s73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
