,(,),[,],{,},+,-,*,/,!,;,<,>,<=,>=,==,!=,||,&&,=,id,num,real,float,int,if,else,while,do,break,continue,FALSE,TRUE,＄,program,block,decls,decl,type,basic,stmts,stmt,loc,bool,join,equality,rel,expr,term,unary,factor,opa,opb,opc
0,,,,,,,,,,,,,,,,,,,,,,,,,Shift 3,Shift 4,,,,,,,,,,Shift 1,,,,,Shift 2,,,,,,,,,,,,,,
1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ACC,,,,,,,,,,,,,,,,,,,,
2,,,,,,,,,,,,,,,,,,,,,,Shift 5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,,,basic→float,,,,,,,,,,,,,,,,,,,basic→float,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,,,basic→int,,,,,,,,,,,,,,,,,,,basic→int,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Shift 6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,,Shift 7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,,,,,Shift 9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Shift 8,,,,,,,,,,,,,,,,,,
8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,program→basicid()block,,,,,,,,,,,,,,,,,,,,
9,,,,,decls→ε,decls→ε,,,,,,,,,,,,,,,,decls→ε,,,decls→ε,decls→ε,decls→ε,decls→ε,decls→ε,decls→ε,decls→ε,decls→ε,,,decls→ε,,,Shift 10,,,,,,,,,,,,,,,,,
10,,,,,stmts→ε,stmts→ε,,,,,,,,,,,,,,,,stmts→ε,,,Shift 3,Shift 4,stmts→ε,,stmts→ε,stmts→ε,stmts→ε,stmts→ε,,,,,,,Shift 12,Shift 13,Shift 14,Shift 15,,,,,,,,,,,,,
11,,,,,decls→ε,decls→ε,,,,,,,,,,,,,,,,decls→ε,,,decls→ε,decls→ε,decls→ε,decls→ε,decls→ε,decls→ε,decls→ε,decls→ε,,,decls→ε,,,,,,,,,,,,,,,,,,,,
12,,,,,decls→declsdecl,decls→declsdecl,,,,,,,,,,,,,,,,decls→declsdecl,,,decls→declsdecl,decls→declsdecl,decls→declsdecl,decls→declsdecl,decls→declsdecl,decls→declsdecl,decls→declsdecl,decls→declsdecl,,,decls→declsdecl,,,,,,,,,,,,,,,,,,,,
13,,,Shift 17,,,,,,,,,,,,,,,,,,,Shift 18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,,,type→basic,,,,,,,,,,,,,,,,,,,type→basic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,,,,,Shift 9,Shift 22,,,,,,,,,,,,,,,,Shift 23,,,,,Shift 24,,Shift 25,Shift 26,Shift 27,Shift 28,,,,,Shift 19,,,,,,Shift 20,Shift 21,,,,,,,,,,,
16,,,,,stmts→ε,stmts→ε,,,,,,,,,,,,,,,,stmts→ε,,,,,stmts→ε,,stmts→ε,stmts→ε,stmts→ε,stmts→ε,,,,,,,,,,,,,,,,,,,,,,,
